Season,Time,VTeam,Hteam,VScore,Hscore,Mar.,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,OPFGM,OPFGA,OPFG%,OP3FGM,OP3FGA,OP3FG%,OPFTM,OPFTA,OPFT%,OPOFF,OPDEF,OPREB,OPAST,OPSTL,OPBLK,OPTO,OPPF,OPPTS,H Betting Line
(2019-20),8/23/2020 0:00,LAC,DAL,133,135,-2,41.6,89.2,0.47,12.4,33.5,0.37,20.8,26.3,0.79,10.7,37,47.7,23.7,7.1,4.7,14.6,22.1,116.3,41.91,91.57,0.46,12.25,34.87,0.35,16,21.04,0.76,10.43,35,45.43,23.92,7,4.15,11.95,21.35,112.07,-340
(2019-20),8/24/2020 0:00,MIL,ORL,121,106,15,43.3,90.9,0.48,13.8,38.9,0.36,18.3,24.7,0.74,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7,40.4,86.89,0.47,12.23,33.6,0.36,15.26,19.79,0.77,9.04,35.84,44.88,24.71,7,4.63,14.59,19.45,108.29,-1100
(2019-20),8/24/2020 0:00,HOU,OCT,114,117,-3,40.8,90.4,0.45,15.6,45.3,0.35,20.6,26.1,0.79,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8,40.79,89.64,0.46,11.31,33.26,0.34,15.54,19.56,0.80,10.47,34.33,44.81,23,7.01,4.03,14.22,22.79,108.43,-150
(2019-20),8/24/2020 0:00,IND,MIA,87,99,-12,42.1,88.5,0.48,10.2,28,0.36,15,19.1,0.79,8.7,34.1,42.8,25.9,7.4,5.2,13.2,19.8,109.4,38.78,86.66,0.45,13.1,37.71,0.35,18.44,23.56,0.78,9.23,33.3,42.53,24.58,7.47,4.14,14,21.7,109.1,-275
(2019-20),8/24/2020 0:00,LAL,POR,135,115,20,42.3,88.3,0.48,11,31.6,0.35,17.7,24.3,0.73,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4,41.8,91.64,0.46,13.56,35.25,0.39,19.04,24.67,0.77,11.52,35.39,46.91,24.93,6.76,4.93,12.95,20.17,116.2,-310
(2019-20),8/25/2020 0:00,UTA,DEN,107,117,-10,40.1,85.1,0.47,13.4,35.2,0.38,17.8,22.8,0.78,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3,39.99,86.45,0.46,12.12,33.88,0.36,17.08,22.51,0.76,10.08,32.56,42.64,25.37,7.19,4.44,14.26,20.47,109.18,-140
(2019-20),8/25/2020 0:00,DAL,LAC,111,154,-43,41.7,90.3,0.46,15.1,41.3,0.37,18.6,23.8,0.78,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117,39.53,90.19,0.44,12.31,35.64,0.35,18.54,24.53,0.76,10.71,34.6,45.31,23.74,7.5,4.69,14.07,22.88,109.9,320
(2019-20),8/29/2020 0:00,POR,LAL,122,131,-9,42.1,91.1,0.46,12.9,34.2,0.38,18,22.3,0.81,10.2,35.1,45.2,20.6,6.4,6.1,12.8,21.7,115.1,39.06,87.14,0.45,11.65,33.42,0.35,17.89,22.9,0.78,9.41,32.86,42.27,23.41,8.24,3.7,15.92,21.75,107.65,800
(2019-20),8/29/2020 0:00,OCT,HOU,80,114,-34,40,85.5,0.47,10.7,30.2,0.36,19.8,24.8,0.80,8.2,34.7,42.9,21.7,7.6,4.9,13.7,19.3,110.4,42.29,91.51,0.46,12.22,35.03,0.35,18.04,23.69,0.76,11.15,36.74,47.89,25.26,8.03,4.92,16.15,21.04,114.85,185
(2019-20),8/29/2020 0:00,ORL,MIL,104,118,-14,39.3,88.6,0.44,11.1,32.2,0.34,17.6,22.7,0.77,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,107.3,38.95,94,0.41,13.97,39.33,0.36,16.73,21.25,0.79,9.49,36.32,45.81,24.16,7.37,4.47,14.11,21.73,108.59,900
