Time,Season,VTeam,Hteam,VScore,Hscore,Mar.,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,OPFGM,OPFGA,OPFG%,OP3FGM,OP3FGA,OP3FG%,OPFTM,OPFTA,OPFT%,OPOFF,OPDEF,OPREB,OPAST,OPSTL,OPBLK,OPTO,OPPF,OPPTS,H Betting Line
2021-06-17,(2020-21),BRO,MIL,89,104,15,43.14,87.35,0.49,14.17,36.11,0.39,18.13,22.54,0.8,8.89,35.54,44.43,26.79,6.72,5.26,13.54,19.04,118.57,44.70,91.80,0.49,14.40,37.10,0.39,16.20,21.40,0.76,10.30,37.80,48.10,25.50,8.10,4.60,13.80,17.30,120.10,-200
2021-06-18,(2020-21),PHI,ATL,104,99,-5,41.4,86.9,0.48,11.26,30.13,0.37,19.57,25.5,0.77,10.03,35.03,45.06,23.69,9.1,6.21,14.44,20.22,113.64,40.80,87.20,0.47,12.40,33.40,0.37,19.70,24.20,0.81,10.60,35.10,45.60,24.10,7.00,4.80,13.20,19.30,113.70,-200
2021-06-18,(2020-21),UTA,LAC,119,131,12,41.26,88.11,0.47,16.74,43.03,0.39,17.15,21.47,0.8,10.63,37.63,48.25,23.65,6.58,5.15,14.21,18.54,116.42,41.80,86.70,0.48,14.30,34.70,0.41,16.20,19.30,0.84,9.40,34.70,44.20,24.40,7.10,4.10,13.20,19.20,114.00,135
2021-06-19,(2020-21),MIL,BRO,115,111,-4,44.74,91.81,0.49,14.42,37.07,0.39,16.24,21.38,0.76,10.29,37.83,48.13,25.47,8.13,4.64,13.82,17.28,120.13,43.10,87.30,0.49,14.20,36.10,0.39,18.10,22.50,0.80,8.90,35.50,44.40,26.80,6.70,5.30,13.50,19.00,118.60,125
2021-06-20,(2020-21),LAC,PHO,114,120,6,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.1,13.19,19.21,114.01,43.30,88.30,0.49,13.10,34.60,0.38,15.60,18.70,0.83,8.80,34.20,42.90,26.90,7.20,4.30,12.50,19.10,115.30,-170
2021-06-20,(2020-21),ATL,PHI,103,96,-7,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,41.40,86.90,0.48,11.30,30.10,0.37,19.60,25.50,0.77,10.00,35.00,45.10,23.70,9.10,6.20,14.40,20.20,113.60,-280
2021-06-22,(2020-21),LAC,PHO,103,104,1,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.1,13.19,19.21,114.01,43.30,88.30,0.49,13.10,34.60,0.38,15.60,18.70,0.83,8.80,34.20,42.90,26.90,7.20,4.30,12.50,19.10,115.30,-185
2021-06-23,(2020-21),ATL,MIL,116,113,-3,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,44.70,91.80,0.49,14.40,37.10,0.39,16.20,21.40,0.76,10.30,37.80,48.10,25.50,8.10,4.60,13.80,17.30,120.10,-360
2021-06-24,(2020-21),PHO,LAC,92,106,14,43.3,88.3,0.49,13.1,34.6,0.38,15.6,18.7,0.83,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3,41.79,86.69,0.48,14.26,34.69,0.41,16.17,19.26,0.84,9.42,34.74,44.15,24.39,7.07,4.1,13.19,19.21,114.01,-105
2021-06-25,(2020-21),ATL,MIL,91,125,34,40.79,87.24,0.47,12.43,33.36,0.37,19.68,24.24,0.81,10.56,35.07,45.63,24.13,6.99,4.75,13.24,19.33,113.69,44.70,91.80,0.49,14.40,37.10,0.39,16.20,21.40,0.76,10.30,37.80,48.10,25.50,8.10,4.60,13.80,17.30,120.10,-370
