Type,Date,Season,VTeam,HTeam,Vscore,Hscore,Mar.,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,OPFGM,OPFGA,OPFG%,OP3FGM,OP3FGA,OP3FG%,OPFTM,OPFTA,OPFT%,OPOFF,OPDEF,OPREB,OPAST,OPSTL,OPBLK,OPTO,OPPF,OPPTS,H Betting Line
Playoffs,2008-05-08,(2007-08),NOH,SAS,99,110,11,38.59,82.88,0.47,7.68,19.77,0.39,16,20.82,0.77,11.43,30.41,41.84,21.77,7.77,3.91,11.88,18.67,100.85,35.83,78.34,0.46,7.24,19.63,0.37,16.46,21.63,0.76,9.4,31.85,41.26,20.95,6.35,4.11,12.62,18.74,95.37,-350
Playoffs,2008-05-09,(2007-08),LAL,UTA,99,104,5,39.61,83.15,0.48,8.07,21.35,0.38,21.29,27.68,0.77,10.95,33.2,44.15,24.43,7.98,5.34,14.1,20.62,108.59,39.99,80.39,0.5,4.96,13.35,0.37,21.28,28.02,0.76,11.49,29.39,40.88,26.4,8.74,4.33,14.63,24.02,106.22,-210
Playoffs,2008-05-10,(2007-08),DET,ORL,90,89,-1,36.57,79.89,0.46,5.94,16.22,0.37,18.38,23.96,0.77,11.88,29.55,41.43,22.33,7.11,5.76,11.66,20.59,97.46,37.29,78.61,0.47,9.77,25.29,0.39,20.12,27.9,0.72,9.37,32.65,42.01,20.8,6.34,4.06,14.3,20.59,104.48,-250
Playoffs,2008-05-10,(2007-08),BOS,CLE,84,108,24,36.41,76.66,0.48,7.27,19.07,0.38,20.45,26.54,0.77,10.12,31.89,42.01,22.35,8.49,4.62,15.2,22.73,100.55,35.82,81.67,0.44,6.73,18.83,0.36,18.01,25.13,0.72,13.32,31.26,44.57,20,7.06,5.21,13.96,20.88,96.38,-125
Playoffs,2008-05-11,(2007-08),LAL,UTA,115,123,8,39.61,83.15,0.48,8.07,21.35,0.38,21.29,27.68,0.77,10.95,33.2,44.15,24.43,7.98,5.34,14.1,20.62,108.59,39.99,80.39,0.5,4.96,13.35,0.37,21.28,28.02,0.76,11.49,29.39,40.88,26.4,8.74,4.33,14.63,24.02,106.22,-130
Playoffs,2008-05-11,(2007-08),NOH,SAS,80,100,20,38.59,82.88,0.47,7.68,19.77,0.39,16,20.82,0.77,11.43,30.41,41.84,21.77,7.77,3.91,11.88,18.67,100.85,35.83,78.34,0.46,7.24,19.63,0.37,16.46,21.63,0.76,9.4,31.85,41.26,20.95,6.35,4.11,12.62,18.74,95.37,-210
Playoffs,2008-05-12,(2007-08),BOS,CLE,77,88,11,36.41,76.66,0.48,7.27,19.07,0.38,20.45,26.54,0.77,10.12,31.89,42.01,22.35,8.49,4.62,15.2,22.73,100.55,35.82,81.67,0.44,6.73,18.83,0.36,18.01,25.13,0.72,13.32,31.26,44.57,20,7.06,5.21,13.96,20.88,96.38,-125
Playoffs,2008-05-13,(2007-08),ORL,DET,86,91,5,37.29,78.61,0.47,9.77,25.29,0.39,20.12,27.9,0.72,9.37,32.65,42.01,20.8,6.34,4.06,14.3,20.59,104.48,36.57,79.89,0.46,5.94,16.22,0.37,18.38,23.96,0.77,11.88,29.55,41.43,22.33,7.11,5.76,11.66,20.59,97.46,-250
Playoffs,2008-05-13,(2007-08),SAS,NOH,79,101,22,35.83,78.34,0.46,7.24,19.63,0.37,16.46,21.63,0.76,9.4,31.85,41.26,20.95,6.35,4.11,12.62,18.74,95.37,38.59,82.88,0.47,7.68,19.77,0.39,16,20.82,0.77,11.43,30.41,41.84,21.77,7.77,3.91,11.88,18.67,100.85,-190
Playoffs,2008-05-14,(2007-08),CLE,BOS,89,96,7,35.82,81.67,0.44,6.73,18.83,0.36,18.01,25.13,0.72,13.32,31.26,44.57,20,7.06,5.21,13.96,20.88,96.38,36.41,76.66,0.48,7.27,19.07,0.38,20.45,26.54,0.77,10.12,31.89,42.01,22.35,8.49,4.62,15.2,22.73,100.55,-470
